Qualifying Name,% Total Population: Hispanic or Latino
"Anderson County, Texas",16.96
"Andrews County, Texas",54.37
"Angelina County, Texas",21.11
"Aransas County, Texas",26.27
"Archer County, Texas",8.25
"Armstrong County, Texas",12.7
"Atascosa County, Texas",63.08
"Austin County, Texas",25.5
"Bailey County, Texas",61.72
"Bandera County, Texas",17.69
"Bastrop County, Texas",35.16
"Baylor County, Texas",8.35
"Bee County, Texas",57.91
"Bell County, Texas",23.54
"Bexar County, Texas",59.46
"Blanco County, Texas",18.88
"Borden County, Texas",4.73
"Bosque County, Texas",16.98
"Bowie County, Texas",7.23
"Brazoria County, Texas",29.23
"Brazos County, Texas",24.61
"Brewster County, Texas",43.97
"Briscoe County, Texas",31.22
"Brooks County, Texas",94.49
"Brown County, Texas",21
"Burleson County, Texas",19.88
"Burnet County, Texas",21.51
"Caldwell County, Texas",49.82
"Calhoun County, Texas",47.84
"Callahan County, Texas",8.92
"Cameron County, Texas",88.99
"Camp County, Texas",23.66
"Carson County, Texas",9.56
"Cass County, Texas",4.23
"Castro County, Texas",62.87
"Chambers County, Texas",21.14
"Cherokee County, Texas",22.1
"Childress County, Texas",20.29
"Clay County, Texas",5.51
"Cochran County, Texas",56.82
"Coke County, Texas",21
"Coleman County, Texas",17.28
"Collin County, Texas",14.98
"Collingsworth County, Texas",32.78
"Colorado County, Texas",28.16
"Comal County, Texas",26.36
"Comanche County, Texas",26.93
"Concho County, Texas",55.46
"Cooke County, Texas",16.92
"Coryell County, Texas",17.54
"Cottle County, Texas",28.59
"Crane County, Texas",61.43
"Crockett County, Texas",63.11
"Crosby County, Texas",54.3
"Culberson County, Texas",78.09
"Dallam County, Texas",42.64
"Dallas County, Texas",39.31
"Dawson County, Texas",55.58
"Deaf Smith County, Texas",70.69
"Delta County, Texas",6.72
"Denton County, Texas",18.9
"DeWitt County, Texas",33.96
"Dickens County, Texas",27.94
"Dimmit County, Texas",86.15
"Donley County, Texas",10.35
"Duval County, Texas",89.11
"Eastland County, Texas",15.63
"Ector County, Texas",57.69
"Edwards County, Texas",54.24
"Ellis County, Texas",25.05
"El Paso County, Texas",81.78
"Erath County, Texas",20.22
"Falls County, Texas",22.51
"Fannin County, Texas",10.42
"Fayette County, Texas",19.88
"Fisher County, Texas",31.27
"Floyd County, Texas",57.15
"Foard County, Texas",16.36
"Fort Bend County, Texas",23.99
"Franklin County, Texas",13.67
"Freestone County, Texas",14.41
"Frio County, Texas",78.35
"Gaines County, Texas",39.73
"Galveston County, Texas",23.56
"Garza County, Texas",55.22
"Gillespie County, Texas",21.81
"Glasscock County, Texas",37.27
"Goliad County, Texas",35.29
"Gonzales County, Texas",49.62
"Gray County, Texas",27.36
"Grayson County, Texas",12.36
"Gregg County, Texas",17.87
"Grimes County, Texas",23.03
"Guadalupe County, Texas",36.94
"Hale County, Texas",58.35
"Hall County, Texas",34
"Hamilton County, Texas",11.5
"Hansford County, Texas",45.64
"Hardeman County, Texas",23.05
"Hardin County, Texas",5.18
"Harris County, Texas",41.85
"Harrison County, Texas",12.33
"Hartley County, Texas",25.39
"Haskell County, Texas",26.55
"Hays County, Texas",37.07
"Hemphill County, Texas",34.83
"Henderson County, Texas",11.76
"Hidalgo County, Texas",91.48
"Hill County, Texas",19.58
"Hockley County, Texas",46.38
"Hood County, Texas",11.63
"Hopkins County, Texas",15.99
"Houston County, Texas",10.56
"Howard County, Texas",40.52
"Hudspeth County, Texas",78.4
"Hunt County, Texas",14.84
"Hutchinson County, Texas",22.17
"Irion County, Texas",23.24
"Jack County, Texas",15.88
"Jackson County, Texas",31.61
"Jasper County, Texas",6.52
"Jeff Davis County, Texas",35.88
"Jefferson County, Texas",18.96
"Jim Hogg County, Texas",90.09
"Jim Wells County, Texas",79.93
"Johnson County, Texas",19.76
"Jones County, Texas",26.85
"Karnes County, Texas",52.18
"Kaufman County, Texas",19.16
"Kendall County, Texas",22.38
"Kenedy County, Texas",71.15
"Kent County, Texas",17.39
"Kerr County, Texas",25.67
"Kimble County, Texas",22.61
"King County, Texas",23.36
"Kinney County, Texas",62.52
"Kleberg County, Texas",71.95
"Knox County, Texas",32.44
"Lamar County, Texas",7.23
"Lamb County, Texas",53.96
"Lampasas County, Texas",18.71
"La Salle County, Texas",83.66
"Lavaca County, Texas",17.73
"Lee County, Texas",23.12
"Leon County, Texas",13.98
"Liberty County, Texas",20.72
"Limestone County, Texas",20.8
"Lipscomb County, Texas",29.17
"Live Oak County, Texas",37.93
"Llano County, Texas",9.56
"Loving County, Texas",15.79
"Lubbock County, Texas",33.89
"Lynn County, Texas",47.37
"McCulloch County, Texas",30.95
"McLennan County, Texas",25.13
"McMullen County, Texas",48.14
"Madison County, Texas",22.18
"Marion County, Texas",3.83
"Martin County, Texas",46.12
"Mason County, Texas",24.93
"Matagorda County, Texas",40.65
"Maverick County, Texas",95.45
"Medina County, Texas",50.85
"Menard County, Texas",39.39
"Midland County, Texas",42.26
"Milam County, Texas",25.27
"Mills County, Texas",17.08
"Mitchell County, Texas",39.22
"Montague County, Texas",10.43
"Montgomery County, Texas",22.44
"Moore County, Texas",53.31
"Morris County, Texas",8.76
"Motley County, Texas",11.15
"Nacogdoches County, Texas",18.67
"Navarro County, Texas",25.63
"Newton County, Texas",3.39
"Nolan County, Texas",35.82
"Nueces County, Texas",62.55
"Ochiltree County, Texas",52.16
"Oldham County, Texas",16.19
"Orange County, Texas",6.82
"Palo Pinto County, Texas",19.59
"Panola County, Texas",8.52
"Parker County, Texas",11.16
"Parmer County, Texas",61.76
"Pecos County, Texas",68.17
"Polk County, Texas",14.28
"Potter County, Texas",37.16
"Presidio County, Texas",81.79
"Rains County, Texas",8.41
"Randall County, Texas",19.39
"Reagan County, Texas",65.99
"Real County, Texas",19.65
"Red River County, Texas",7.19
"Reeves County, Texas",74.81
"Refugio County, Texas",49.32
"Roberts County, Texas",2.88
"Robertson County, Texas",19.79
"Rockwall County, Texas",16.73
"Runnels County, Texas",33.47
"Rusk County, Texas",15.86
"Sabine County, Texas",3.84
"San Augustine County, Texas",6.73
"San Jacinto County, Texas",12.3
"San Patricio County, Texas",56.11
"San Saba County, Texas",29.2
"Schleicher County, Texas",50.96
"Scurry County, Texas",39.18
"Shackelford County, Texas",11.5
"Shelby County, Texas",17.6
"Sherman County, Texas",42.03
"Smith County, Texas",18.58
"Somervell County, Texas",19.11
"Starr County, Texas",98.96
"Stephens County, Texas",23.34
"Sterling County, Texas",37.71
"Stonewall County, Texas",23.03
"Sutton County, Texas",58.36
"Swisher County, Texas",42.44
"Tarrant County, Texas",27.83
"Taylor County, Texas",23.39
"Terrell County, Texas",69.67
"Terry County, Texas",53.14
"Throckmorton County, Texas",15.13
"Titus County, Texas",41.48
"Tom Green County, Texas",38.06
"Travis County, Texas",33.74
"Trinity County, Texas",9.07
"Tyler County, Texas",7.25
"Upshur County, Texas",7.67
"Upton County, Texas",52.46
"Uvalde County, Texas",70.45
"Val Verde County, Texas",80.92
"Van Zandt County, Texas",10.02
"Victoria County, Texas",45.47
"Walker County, Texas",17.61
"Waller County, Texas",29.03
"Ward County, Texas",51.39
"Washington County, Texas",15.08
"Webb County, Texas",95.48
"Wharton County, Texas",39.64
"Wheeler County, Texas",26.46
"Wichita County, Texas",18.17
"Wilbarger County, Texas",28.05
"Willacy County, Texas",87.81
"Williamson County, Texas",23.84
"Wilson County, Texas",38.75
"Winkler County, Texas",58.47
"Wise County, Texas",18.4
"Wood County, Texas",9.4
"Yoakum County, Texas",63.55
"Young County, Texas",17.67
"Zapata County, Texas",94.12
"Zavala County, Texas",93.33